timestamp,game_running,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T15:14:59.192553,True,20.0,1901.0,8188.0,42.0,16.99,0.0,0.4,6.9,8.0
2024-11-27T15:15:00.855388,True,40.0,1893.0,8188.0,42.0,12.89,0.0,0.2,6.9,40.0
2024-11-27T15:15:02.517119,True,17.0,1893.0,8188.0,42.0,17.04,0.0,0.2,6.9,46.0
2024-11-27T15:15:04.188525,True,44.0,1893.0,8188.0,42.0,13.77,0.0,0.2,6.9,54.0
2024-11-27T15:15:05.868610,True,20.0,1893.0,8188.0,42.0,19.36,0.0,0.6,6.9,48.0
2024-11-27T15:15:07.539283,True,42.0,1893.0,8188.0,42.0,17.23,0.0,0.2,6.9,44.0
2024-11-27T15:15:09.201413,True,20.0,1893.0,8188.0,43.0,15.15,0.0,0.2,6.9,44.0
2024-11-27T15:15:10.881895,True,17.0,1893.0,8188.0,42.0,20.03,0.0,0.3,6.9,6.0
2024-11-27T15:15:12.545555,True,39.0,1893.0,8188.0,42.0,13.48,0.0,0.3,6.9,44.0
2024-11-27T15:15:14.234335,True,24.0,1904.0,8188.0,43.0,15.81,0.0,0.2,6.9,30.0
2024-11-27T15:15:15.912148,True,48.0,1904.0,8188.0,43.0,19.5,0.0,0.5,6.9,48.0
2024-11-27T15:15:17.591317,True,19.0,1904.0,8188.0,43.0,14.73,0.0,0.4,6.9,58.0
2024-11-27T15:15:18.151985,True,14.0,1904.0,8188.0,43.0,20.69,0.0,0.3,6.9,10.0
2024-11-27T15:15:19.822970,True,18.0,1904.0,8188.0,43.0,14.43,0.0,0.2,6.9,8.0
2024-11-27T15:15:21.505753,True,38.0,1904.0,8188.0,43.0,16.05,0.0,0.3,6.9,40.0
2024-11-27T15:15:23.195408,True,17.0,1904.0,8188.0,43.0,17.81,0.0,0.2,6.9,42.0
2024-11-27T15:15:24.845435,True,19.0,1904.0,8188.0,43.0,18.48,0.0,0.3,6.9,4.0
2024-11-27T15:15:26.527128,True,46.0,1904.0,8188.0,43.0,12.97,0.0,0.4,6.9,54.0
2024-11-27T15:15:28.212822,True,22.0,1904.0,8188.0,43.0,20.11,0.0,0.4,6.9,48.0
2024-11-27T15:15:29.906673,True,38.0,1904.0,8188.0,43.0,15.26,0.0,0.2,6.9,32.0
2024-11-27T15:15:31.592250,True,14.0,1904.0,8188.0,43.0,21.54,39.0,0.3,6.9,48.0
2024-11-27T15:15:33.278981,True,36.0,1904.0,8188.0,43.0,13.89,47.0,0.3,6.9,44.0
2024-11-27T15:15:34.942394,True,22.0,1904.0,8188.0,43.0,17.73,45.0,0.3,6.9,28.0
2024-11-27T15:15:36.628883,True,24.0,1904.0,8188.0,43.0,19.29,48.0,0.3,6.9,4.0
2024-11-27T15:15:38.309123,True,18.0,1904.0,8188.0,42.0,14.32,50.0,0.4,6.9,12.0
